customer_id;signup_date;age;gender;annual_income;education;marital_status;dependents;tenure;contract;payment_method;paperless_billing;senior_citizen;monthlycharges;totalcharges;num_services;has_phone_service;has_internet_service;has_online_security;has_online_backup;has_device_protection;has_tech_support;has_streaming_tv;has_streaming_movies;customer_satisfaction;num_complaints;num_service_calls;late_payments;avg_monthly_gb;days_since_last_interaction;credit_score;churn
CUST0000000001;2022-12-12 12:53:58.199463;43;Female;55085.25;college;married;1;2;two_year;electronic_check;Yes;0;67.2;144.39;1;1;1;0;0;1;1;1;1;9.0;0.0;0;0;109.63;16;;0
CUST0000000002;2022-01-13 12:53:58.199973;18;Male;60786.11;master;married;1;22;one_year;bank_transfer;Yes;0;71.54;1602.22;2;0;1;0;1;0;0;0;1;7.0;0.0;3;1;63.25;134;585.0;0
CUST0000000003;2023-09-04 12:53:58.199985;38;Female;73184.32;high_school;widowed;0;3;two_year;credit_card;No;0;112.2;328.81;4;1;1;0;0;1;1;1;0;6.0;1.0;1;0;47.77;11;632.0;0
CUST0000000004;2022-06-27 12:53:58.199992;44;Male;40923.78;high_school;married;1;6;two_year;bank_transfer;Yes;0;107.49;643.45;3;1;1;0;0;1;1;0;1;5.0;2.0;2;1;50.82;6;569.0;0
CUST0000000005;2022-12-08 12:53:58.199999;45;Female;36400.94;bachelor;single;0;9;two_year;credit_card;Yes;0;110.05;648.79;3;0;1;0;0;0;0;0;1;8.0;1.0;1;0;16.74;18;657.0;0
CUST0000000006;2023-01-12 12:53:58.200006;55;Female;30771.38;master;married;1;47;two_year;credit_card;Yes;0;71.8;3041.87;2;1;1;0;0;0;0;1;1;8.0;0.0;0;0;24.56;22;702.0;0
CUST0000000007;2021-04-23 12:53:58.200012;47;Male;65503.82;college;married;0;26;two_year;electronic_check;Yes;0;126.85;3602.75;4;1;1;1;1;0;0;1;1;4.0;2.0;3;0;46.36;11;716.0;0
CUST0000000008;2023-03-04 12:53:58.200018;39;Male;65039.32;college;single;0;18;one_year;electronic_check;No;0;121.04;2067.41;3;1;1;1;0;0;1;1;0;5.0;2.0;4;0;48.9;106;525.0;0
CUST0000000009;2021-07-18 12:53:58.200023;31;Male;37306.25;bachelor;married;0;1;two_year;mailed_check;Yes;1;77.56;59.52;4;1;1;1;1;1;1;0;1;4.0;;0;0;94.64;28;637.0;0
CUST0000000010;2025-09-12 12:53:58.200029;38;Female;40665.2;college;single;0;31;two_year;electronic_check;Yes;0;72.3;2060.67;1;1;1;0;0;0;1;0;0;5.0;0.0;1;0;11.33;91;850.0;0
CUST0000000011;2024-10-02 12:53:58.200035;54;Female;31615.1;high_school;divorced;0;12;two_year;mailed_check;Yes;1;45.74;504.35;2;0;0;0;0;0;0;1;1;5.0;1.0;1;1;0.0;123;535.0;0
CUST0000000012;2022-08-22 12:53:58.200041;57;Female;64892.48;high_school;single;1;38;one_year;electronic_check;Yes;0;80.55;3187.81;3;1;1;1;1;1;1;0;0;2.0;1.0;1;1;;1;;0
CUST0000000013;2025-02-15 12:53:58.200047;34;Female;37552.18;college;married;1;7;two_year;bank_transfer;Yes;0;106.75;677.3;1;0;1;0;0;1;1;1;1;5.0;0.0;2;1;22.46;26;681.0;0
CUST0000000014;2021-12-21 12:53:58.200053;60;Male;40267.77;college;single;0;1;two_year;bank_transfer;No;1;86.04;93.15;1;1;1;1;0;0;1;0;1;3.0;0.0;2;1;39.81;33;655.0;0
CUST0000000015;2025-10-16 12:53:58.200058;53;Male;20000.0;college;married;0;48;two_year;mailed_check;Yes;0;68.84;2985.82;1;1;1;0;0;1;0;0;1;4.0;0.0;1;1;;83;698.0;0
CUST0000000016;2022-03-17 12:53:58.200064;31;Female;50638.9;master;married;0;5;two_year;credit_card;No;0;61.18;309.63;1;0;0;0;0;0;0;0;0;1.0;0.0;1;0;0.0;70;572.0;0
CUST0000000017;2022-12-15 12:53:58.200070;48;Female;68985.44;college;married;0;12;one_year;mailed_check;Yes;0;114.93;1493.27;6;0;0;0;0;0;0;1;0;8.0;0.0;0;0;0.0;91;731.0;0
CUST0000000018;2023-08-24 12:53:58.200076;50;Female;44614.68;bachelor;married;0;9;one_year;electronic_check;Yes;0;93.42;767.29;5;1;0;0;0;0;0;1;0;7.0;1.0;4;1;0.0;1;682.0;0
CUST0000000019;2021-05-30 12:53:58.200082;29;Male;67784.57;bachelor;married;2;1;two_year;bank_transfer;Yes;0;62.54;59.77;1;1;1;0;0;1;0;1;1;4.0;0.0;0;0;47.42;139;654.0;0
CUST0000000020;2025-09-03 12:53:58.200087;24;Male;;master;married;0;44;one_year;electronic_check;No;1;103.93;4323.6;4;1;1;0;0;0;0;0;1;7.0;0.0;1;1;125.49;19;702.0;0
CUST0000000021;2021-06-01 12:53:58.200093;52;Female;87602.82;master;single;0;45;one_year;credit_card;Yes;0;72.41;3316.37;1;0;1;0;1;0;0;0;1;6.0;0.0;0;2;55.52;1;772.0;0
